RESPONDENT,TRANTIME,DEPARTS,ARRIVES
1,7,647,654
2,8,1305,1309
3,10,1445,1454
4,10,1605,1614
5,10,1605,1614
6,15,1515,1534
7,15,1435,1449
8,7,1545,1554
9,12,1535,1544
10,15,1435,1449
11,15,1605,1619
12,7,1545,1554
13,15,622,639
14,18,802,819
15,15,1635,1649
16,15,732,749
17,129,502,644
18,20,802,824
19,15,652,709
20,15,747,804
21,15,802,819
22,10,712,724
23,12,732,744
24,20,632,654
25,20,702,724
26,35,817,854
27,10,732,744
28,20,732,754
29,15,702,719
30,20,802,824
31,7,1505,1509
32,24,747,809
33,45,702,749
34,12,2205,2214
35,15,547,604
36,15,727,744
37,17,737,754
38,12,702,714
39,15,732,749
40,15,832,849
41,20,405,429
42,20,932,954
43,45,832,919
44,12,522,534
45,25,602,629
46,30,1335,1404
47,15,717,734
48,10,2115,2124
49,20,717,739
50,5,602,609
51,5,732,739
52,15,552,609
53,15,522,539
54,10,802,814
55,20,532,554
56,25,802,829
57,12,742,754
58,18,632,649
59,7,747,754
60,15,647,704
61,8,732,739
62,35,1335,1409
63,30,802,834
64,15,707,724
65,15,932,949
66,5,752,759
67,20,802,824
68,15,1115,1134
69,7,802,809
70,15,702,719
71,20,632,654
72,15,727,744
73,3,532,534
74,20,732,754
75,4,752,754
76,129,547,719
77,129,647,919
78,25,802,829
79,15,932,949
80,15,917,934
81,20,647,709
82,45,722,809
83,35,552,629
84,20,832,854
85,5,732,739
86,30,722,754
87,10,647,659
88,30,637,709
89,30,627,659
90,13,802,814
91,30,732,804
92,30,602,634
93,10,702,714
94,15,902,919
95,18,542,559
96,10,502,514
97,10,345,359
98,17,1605,1619
99,22,802,824
100,9,632,639
101,10,702,714
102,15,817,834
103,30,732,804
104,30,732,804
105,10,1635,1644
106,15,602,619
107,15,602,619
108,25,1315,1344
109,15,702,719
110,15,802,819
111,45,115,149
112,15,647,704
113,25,817,844
114,30,632,704
115,20,732,754
116,15,802,819
117,20,732,754
118,30,1815,1849
119,30,517,549
120,15,732,749
121,45,802,849
122,20,602,624
123,2,832,834
124,20,817,839
125,20,832,854
126,15,932,949
127,10,435,444
128,20,702,724
129,30,802,834
130,15,632,649
131,15,902,919
132,20,1205,1224
133,37,732,809
134,15,602,619
135,5,532,539
136,30,632,704
137,20,642,704
138,10,802,814
139,20,727,749
140,30,732,804
141,20,712,734
142,26,702,729
143,15,902,919
144,10,832,844
145,15,832,849
146,18,632,649
147,10,1205,1214
148,13,617,629
149,25,702,729
150,10,832,844
151,1,702,704
152,8,502,509
153,20,802,824
154,25,742,809
155,15,502,519
156,5,752,759
157,15,742,759
158,129,517,724
159,20,802,824
160,30,602,634
161,10,732,744
162,35,917,954
163,30,732,804
164,30,602,634
165,5,717,724
166,15,1845,1904
167,30,802,834
168,5,2015,2009
169,10,902,914
170,20,902,924
171,30,632,704
172,25,632,659
173,10,902,914
174,20,802,824
175,15,802,819
176,15,802,819
177,25,532,559
178,6,1335,1339
179,10,1005,1014
180,12,547,559
181,12,802,814
182,15,832,849
183,15,747,804
184,15,932,949
185,15,702,719
186,20,622,644
187,20,445,509
188,20,445,509
189,20,622,644
190,20,732,754
191,40,732,814
192,40,115,144
193,10,1405,1414
194,10,532,544
195,10,832,844
196,25,1105,1129
197,15,602,619
198,20,1015,1039
199,20,632,654
200,20,832,854
201,10,747,759
202,20,732,754
203,20,727,749
204,10,547,559
205,10,532,544
206,3,902,904
207,7,602,609
208,15,502,519
209,15,702,719
210,15,802,819
211,20,1005,1024
212,8,947,954
213,8,932,939
214,5,445,454
215,20,245,254
216,20,732,754
217,25,732,759
218,15,1605,1619
219,3,1655,1654
220,20,702,724
221,20,602,624
222,20,702,724
223,25,532,559
224,20,547,609
225,10,732,744
226,15,732,749
227,12,627,639
228,25,702,729
229,5,1645,1654
230,15,717,734
231,5,802,809
232,20,742,804
233,15,532,549
234,20,642,704
235,15,802,819
236,15,602,619
237,12,245,254
238,10,502,514
239,20,602,624
240,10,1635,1644
241,10,1335,1344
242,30,1105,1134
243,8,1405,1409
244,10,632,644
245,10,522,534
246,10,702,714
247,15,612,629
248,5,1535,1539
249,5,617,624
250,12,502,514
251,5,542,549
252,10,1645,1654
253,5,1045,1054
254,20,902,924
255,30,702,734
256,20,2345,2354
257,30,717,749
258,8,445,454
259,12,632,644
260,17,712,729
261,15,617,634
262,15,732,749
263,8,532,539
264,5,752,759
265,15,602,619
266,15,435,449
267,10,802,814
268,3,817,819
269,15,1605,1619
270,20,902,924
271,7,702,709
272,20,732,754
273,15,702,719
274,5,802,809
275,25,632,659
276,40,617,659
277,15,557,614
278,45,702,749
279,15,1335,1349
280,20,732,754
281,20,1445,1509
282,4,1335,1334
283,60,702,804
284,15,547,604
285,15,547,604
286,35,732,809
287,10,752,804
288,10,632,644
289,15,1435,1449
290,6,702,709
291,6,702,709
292,18,702,719
293,5,747,754
294,45,732,819
295,5,1705,1709
296,20,1335,1354
297,25,702,729
298,15,1115,1129
299,15,1115,1129
300,10,702,714
301,10,832,844
302,30,702,734
303,8,717,724
304,10,652,704
305,6,732,739
306,20,742,804
307,20,445,504
308,20,702,724
309,15,732,749
310,20,632,654
311,15,802,819
312,15,702,719
313,15,737,754
314,15,732,749
315,12,732,744
316,12,642,654
317,20,802,824
318,7,732,739
319,15,702,719
320,15,817,834
321,15,817,834
322,10,1105,1114
323,30,702,734
324,30,732,804
325,15,617,634
326,15,1715,1734
327,10,632,644
328,10,732,744
329,25,717,744
330,25,1705,1729
331,10,952,1004
332,20,632,654
333,17,747,804
334,15,632,649
335,5,702,709
336,15,1205,1219
337,10,2145,2159
338,15,702,719
339,15,802,819
340,20,435,454
341,30,602,634
342,30,732,804
343,30,802,834
344,5,747,754
345,5,727,734
346,20,1005,1024
347,8,732,739
348,10,847,859
349,20,802,824
350,20,712,734
351,27,1535,1559
352,10,702,714
353,20,1005,1024
354,20,902,924
355,10,842,854
356,15,932,949
357,20,732,754
358,25,722,749
359,30,445,519
360,13,802,814
361,15,732,749
362,20,802,824
363,20,547,609
364,20,532,554
365,15,1235,1249
366,10,435,444
367,15,832,849
368,10,245,259
369,20,532,554
370,10,1435,1444
371,12,702,714
372,20,802,824
373,10,647,659
374,15,1005,1019
375,5,727,734
376,10,2315,2314
377,12,245,254
378,25,1235,1259
379,10,902,914
380,1,732,734
381,25,445,514
382,10,445,459
383,7,742,749
384,60,522,624
385,80,632,754
386,5,1915,1909
387,20,602,624
388,20,732,754
389,20,732,754
390,5,902,909
391,5,1005,1009
392,15,1505,1519
393,15,1635,1649
394,15,1005,1019
395,10,502,514
396,13,732,744
397,8,722,729
398,20,522,544
399,20,802,824
400,10,617,629
401,10,832,844
402,20,802,824
403,12,702,714
404,8,732,739
405,15,717,734
406,20,732,754
407,20,1945,1954
408,15,2135,2149
409,45,647,734
410,20,747,809
411,18,822,839
412,10,812,824
413,30,802,834
414,10,717,729
415,5,832,839
416,12,732,744
417,10,702,714
418,30,717,749
419,20,727,749
420,12,1635,1644
421,30,702,734
422,10,832,844
423,20,632,654
424,20,747,809
425,20,717,739
426,20,2315,2324
427,10,1635,1644
428,20,932,954
429,15,702,719
430,45,632,719
431,5,647,654
432,5,732,739
433,10,632,644
434,10,732,744
435,7,702,709
436,20,522,544
437,7,917,924
438,30,702,734
439,20,1545,1609
440,25,1635,1659
441,15,702,719
442,20,902,924
443,20,702,724
444,30,732,804
445,15,702,719
446,10,902,914
447,7,647,654
448,20,832,854
449,50,802,854
450,20,702,724
451,15,702,719
452,15,1115,1134
453,30,647,719
454,20,702,724
455,5,1605,1609
456,7,647,654
457,12,732,744
458,35,2155,2229
459,12,732,744
460,15,732,749
461,7,802,809
462,18,1305,1319
463,15,532,549
464,10,602,614
