Condition,Rating
control,6.1
control,4.6
control,7.7
control,4.2
control,6.1
control,2.9
control,4.6
control,5.4
control,4.1
control,6.4
control,4
control,7.2
control,2.4
control,2.9
hard,2.1
hard,4.8
hard,3.7
hard,3.5
hard,2.2
hard,3.4
hard,5.5
hard,5.2
hard,6.8
hard,0.4
hard,5.8
hard,4.5
hard,7
hard,1.8
amp,4.1
amp,6.1
amp,5.9
amp,5
amp,6.1
amp,5.7
amp,1.1
amp,4
amp,4.7
amp,3
amp,6.6
amp,3.2
amp,4.5
amp,2.1
crutches,6.7
crutches,6.7
crutches,6.5
crutches,4.6
crutches,7.2
crutches,2.9
crutches,5.2
crutches,3.5
crutches,5.2
crutches,6.6
crutches,6.9
crutches,6.1
crutches,5.9
crutches,8.8
wheel,3
wheel,3.9
wheel,7.9
wheel,3
wheel,3.5
wheel,8.1
wheel,6.4
wheel,6.4
wheel,5.8
wheel,4.6
wheel,5.8
wheel,5.5
wheel,5
,6.2
